[2025-05-20 14:23:46] Usuario: admin | Acción: listar_backups
[2025-05-20 14:23:49] Usuario: admin | Acción: intentos_fallidos
[2025-05-20 14:23:54] Usuario: admin | Acción: uso_sistema
[2025-05-20 14:24:15] Usuario: supervisor1 | Acción: ufw_estado
[2025-05-20 14:24:18] Usuario: supervisor1 | Acción: puertos_abiertos
[2025-05-20 14:24:28] Usuario: supervisor1 | Acción: ufw_estado
[2025-05-20 14:27:24] Usuario: admin | Acción: uso_sistema
[2025-05-20 14:31:54] Usuario: admin | Acción: uso_sistema
[2025-05-20 14:33:28] Usuario: paco | Acción: ver_conexiones
[2025-05-20 14:33:45] Usuario: paco | Acción: ufw_estado
[2025-05-20 14:34:24] Usuario: paco | Acción: ufw_estado
[2025-05-20 14:34:27] Usuario: paco | Acción: puertos_abiertos
[2025-05-20 14:35:06] Usuario: admin | Acción: ver_uptime
[2025-05-20 14:45:04] Usuario: admin | Acción: ver_procesos
[2025-05-20 15:02:39] Usuario: supervisor1 | Acción: ufw_estado
[2025-05-20 15:02:41] Usuario: supervisor1 | Acción: puertos_abiertos
[2025-05-20 17:33:39] Usuario: admin | Acción: uso_sistema
[2025-05-20 17:33:51] Usuario: admin | Acción: intentos_fallidos
[2025-05-20 17:34:13] Usuario: admin | Acción: ver_procesos
[2025-05-20 17:34:23] Usuario: admin | Acción: usuarios_conectados
[2025-05-20 17:39:31] Usuario: admin | Acción: ver_procesos
[2025-05-20 17:39:42] Usuario: admin | Acción: listar_backups
[2025-05-20 17:39:51] Usuario: admin | Acción: usuarios_conectados
[2025-05-20 17:39:58] Usuario: admin | Acción: usuarios_conectados
[2025-05-20 17:40:06] Usuario: admin | Acción: usuarios_conectados
[2025-05-20 17:40:29] Usuario: admin | Acción: ufw_estado
[2025-05-20 17:40:53] Usuario: admin | Acción: estado_servicios
[2025-05-20 17:40:59] Usuario: admin | Acción: ver_uptime
[2025-05-20 17:41:05] Usuario: admin | Acción: ver_uptime
[2025-05-20 17:42:46] Usuario: admin | Acción: ver_uptime
[2025-05-20 17:42:51] Usuario: admin | Acción: ver_logs_apache
[2025-05-20 17:43:02] Usuario: admin | Acción: diagnostico_red
[2025-05-20 17:43:37] Usuario: admin | Acción: listar_backups
[2025-05-20 17:43:46] Usuario: admin | Acción: ufw_estado
[2025-05-20 17:50:09] Usuario: admin | Acción: ver_uptime
[2025-05-20 17:50:14] Usuario: admin | Acción: ver_logs
[2025-05-20 17:50:19] Usuario: admin | Acción: intentos_fallidos
[2025-05-21 11:20:39] Usuario: admin | Acción: uso_sistema
[2025-05-21 11:28:09] Usuario: admin | Acción: ver_uptime
[2025-05-21 11:28:23] Usuario: admin | Acción: ver_uptime
[2025-05-21 11:28:35] Usuario: admin | Acción: ver_uptime
[2025-05-21 11:28:51] Usuario: admin | Acción: ver_uptime
[2025-05-21 11:33:09] Usuario: admin | Acción: ver_uptime
[2025-05-21 11:33:21] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:06:18] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:10:15] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:10:21] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:10:32] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:30:50] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:37:30] Usuario: admin | Acción: uso_sistema
[2025-05-21 12:37:36] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:37:45] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:38:26] Usuario: admin | Acción: ver_conexiones
[2025-05-21 12:42:07] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:42:15] Usuario: admin | Acción: listar_backups
[2025-05-21 12:42:18] Usuario: admin | Acción: usuarios_conectados
[2025-05-21 12:42:26] Usuario: admin | Acción: verificar_integridad
[2025-05-21 12:42:39] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:43:54] Usuario: admin | Acción: listar_backups
[2025-05-21 12:44:01] Usuario: admin | Acción: intentos_fallidos
[2025-05-21 12:44:04] Usuario: admin | Acción: listar_usuarios
[2025-05-21 12:46:28] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:46:35] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:46:41] Usuario: admin | Acción: ver_uptime
[2025-05-21 12:46:59] Usuario: admin | Acción: diagnostico_red
[2025-05-22 00:41:13] Usuario: admin | Acción: ver_uptime
[2025-05-22 00:41:20] Usuario: admin | Acción: listar_backups
[2025-05-22 00:41:27] Usuario: admin | Acción: usuarios_conectados
[2025-05-22 00:41:37] Usuario: admin | Acción: uso_sistema
[2025-05-22 00:42:42] Usuario: admin | Acción: diagnostico_red
[2025-05-22 00:43:43] Usuario: admin | Acción: ver_procesos
[2025-05-25 17:31:07] Usuario: admin | Acción: ver_uptime
[2025-05-25 17:49:03] Usuario: admin | Acción: limpieza_avanzada
[2025-05-25 17:49:21] Usuario: admin | Acción: ver_procesos
[2025-05-25 17:49:33] Usuario: admin | Acción: listar_backups
[2025-05-25 17:49:44] Usuario: admin | Acción: listar_backups
[2025-05-25 17:50:00] Usuario: admin | Acción: ver_conexiones
[2025-05-25 17:50:12] Usuario: admin | Acción: ver_conexiones
[2025-05-25 17:50:19] Usuario: admin | Acción: listar_usuarios
[2025-05-25 17:50:53] Usuario: admin | Acción: ufw_estado
[2025-05-25 17:50:55] Usuario: admin | Acción: puertos_abiertos
[2025-05-25 17:51:02] Usuario: admin | Acción: puertos_abiertos
[2025-05-25 19:44:27] Usuario: admin | Acción: listar_backups
[2025-05-25 19:44:46] Usuario: admin | Acción: ver_conexiones
[2025-05-25 19:44:58] Usuario: admin | Acción: intentos_fallidos
[2025-05-25 19:45:09] Usuario: admin | Acción: ver_uptime
[2025-05-25 19:45:16] Usuario: admin | Acción: ver_uptime
[2025-05-25 19:45:23] Usuario: admin | Acción: ver_uptime
[2025-05-25 19:45:31] Usuario: admin | Acción: ver_logs_apache
[2025-05-25 19:45:36] Usuario: admin | Acción: verificar_integridad
[2025-05-25 19:45:50] Usuario: admin | Acción: verificar_integridad
[2025-05-25 19:45:56] Usuario: admin | Acción: verificar_integridad
[2025-05-25 19:46:07] Usuario: admin | Acción: estado_servicios
[2025-05-25 19:46:11] Usuario: admin | Acción: listar_backups
